,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
patter,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Miss Yougals sais.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Story of Muhammed din.txt,,,,,,,,,,,,,,,,,,,,,,
summarili,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Miss Yougals sais.txt,,,,,,,,,,,,,,,,,,,,,,,
attack,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Miss Yougals sais.txt,,,,,,,,,,,,,,,,,,,,,,,
toe,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Miss Yougals sais.txt,,,,,,,,,,,,,,,,,,,,,,,
opinion,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The brochkorst divorce case.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Miss Yougals sais.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/yoked with an unbeliever.txt,,,,,,,,,,,,,,,,,,,,,
sign,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/False Dawn.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/His chance in life.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Rout of hossars.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Wressley of the foreign office.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Consequences.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Venus Annodomini.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The gate of a hundred sorrows.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Miss Yougals sais.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/In the pride of his youth.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The other Man.txt,,,,,,,,,,,,,
outsid,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Rout of hossars.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/False Dawn.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/on the strength of a likeness.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Lispeth.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Watches of the night.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Miss Yougals sais.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Thrown Away.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Bisara of pooree.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Story of Muhammed din.txt,,,,,,,,,,,,,,,
trouser,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Miss Yougals sais.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/To be held for reference.txt,,,,,,,,,,,,,,,,,,,,,,
progress,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Miss Yougals sais.txt,,,,,,,,,,,,,,,,,,,,,,,
i'm,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/False Dawn.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Consequences.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/To be held for reference.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Venus Annodomini.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/on the strength of a likeness.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The gate of a hundred sorrows.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The brochkorst divorce case.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Miss Yougals sais.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/pig.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/In the pride of his youth.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Thrown Away.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Three And—An Extra.txt,,,,,,,,,,,,
stolen,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Lispeth.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Miss Yougals sais.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Bisara of pooree.txt,,,,,,,,,,,,,,,,,,,,,
bone,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Rout of hossars.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Wressley of the foreign office.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Lispeth.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Miss Yougals sais.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Three And—An Extra.txt,,,,,,,,,,,,,,,,,,,
routin,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Miss Yougals sais.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Thrown Away.txt,,,,,,,,,,,,,,,,,,,,,,
months',/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Miss Yougals sais.txt,,,,,,,,,,,,,,,,,,,,,,,
canter,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Miss Yougals sais.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/False Dawn.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The other Man.txt,,,,,,,,,,,,,,,,,,,,,
would,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/False Dawn.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Rout of hossars.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/yoked with an unbeliever.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Consequences.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Cupids arrow.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/on the strength of a likeness.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/pig.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Miss Yougals sais.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/In the pride of his youth.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Venus Annodomini.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Lispeth.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The brochkorst divorce case.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Watches of the night.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Story of Muhammed din.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/By word of mouth.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Wressley of the foreign office.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Bisara of pooree.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Three And—An Extra.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The other Man.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/His chance in life.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/To be held for reference.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The gate of a hundred sorrows.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Thrown Away.txt
forc,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Rout of hossars.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/False Dawn.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Three And—An Extra.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Venus Annodomini.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Miss Yougals sais.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/In the pride of his youth.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Thrown Away.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The other Man.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/By word of mouth.txt,,,,,,,,,,,,,,,
thing,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/False Dawn.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Rout of hossars.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/yoked with an unbeliever.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Consequences.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Cupids arrow.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/on the strength of a likeness.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/pig.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Miss Yougals sais.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/In the pride of his youth.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Venus Annodomini.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Lispeth.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The brochkorst divorce case.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Watches of the night.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Story of Muhammed din.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/By word of mouth.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Wressley of the foreign office.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Bisara of pooree.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Three And—An Extra.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The other Man.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/His chance in life.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/To be held for reference.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The gate of a hundred sorrows.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Thrown Away.txt
serv,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/His chance in life.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Miss Yougals sais.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/By word of mouth.txt,,,,,,,,,,,,,,,,,,,,,
turn,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Rout of hossars.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/False Dawn.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Consequences.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Cupids arrow.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/on the strength of a likeness.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/pig.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Miss Yougals sais.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/In the pride of his youth.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Lispeth.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The brochkorst divorce case.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Watches of the night.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Story of Muhammed din.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/By word of mouth.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Wressley of the foreign office.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Bisara of pooree.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Three And—An Extra.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The other Man.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/His chance in life.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/To be held for reference.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The gate of a hundred sorrows.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Thrown Away.txt,,,
